,Company name,Job title,Working model,Job Type,Required Experience ,Salary
158,Red Rocket Inc.,VISUALIZER,On Site,Full time,Fresher,Negotiable
159,InfoDigita Technologies,Sr. Engineer (Front end - React),On Site,Full time,More than 6 years,Negotiable
160,Bd task Limited ,Odoo Developer,On Site,Full time,More than 2 years,60k
161,Fractalslab,"Trainer for HTML, CSS, Bootstrapped and JS",On Site,Part time,Less than 2 years ,12k
162,Centranix,IT Customer Delivery Manager,Remote,Full time,Less than 2 years ,35k-50k
163,Bini Fintech Ltd.,Flutter Developer,On Site,Full time,More than 2 years,40k-60k
164,Bini Fintech Ltd.,Backend Engineer (Freelance),On Site,Full time,More than 2 years,40k-60k
165,Rxcoders,Python Developers,Remote,Full time,Less than 2 years ,100k+
166,UIHUT,Software Engineer,On Site,Full time,Less than 2 years ,30k - 60k
167,TecnoBz,Front-End Developer,On Site,Full time,Less than 2 years ,20k-30k
168,InfoDigita Technologies,Full-stack developers (Laravel and Vue.js preferred),On Site,Full time,Less than 2 years ,32k-80k
169,InfoDigita Technologies,Flutter Expert,On Site,Full time,Less than 2 years ,40k-85k
170,InNeed.Cloud,Senior .NET Developer,Remote,Full time,More than 5 years,Negotiable
171,UPSTRA Communication Limited (Concern of Sheba Group).,Cloud Engineer,On Site,Full time,More than 2 years,Negotiable
172,Genex Infosys Limited, 𝐐𝐀 𝐀𝐮𝐭𝐨𝐦𝐚𝐭𝐢𝐨𝐧 𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫,On Site,Full time,More than 2 years,Negotiable
173,Jobdesk® Ltd.,Digital Marketing Executive ,On Site,Full time,Less than 2 years ,Negotiable
174,Jobdesk® Ltd.,Senior Digital Marketing Manager/SEO Specialist,On Site,Full time,Less than 2 years ,Negotiable
175,Media365 Ltd.,Senior Android Engineer,On Site,Full time,More than 3 years,80k
176,ICM Soft,EEE Engineer,On Site,Full time,Less than 2 years ,Negotiable
177,Mediusware Ltd.,WordPress Developer,On Site,Full time,Less than 2 years ,25k-40k
178,Teton Private Ltd.,Embedded System Intern,On Site,Full time,Less than 2 years ,Negotiable
179,Core Dev Limited,Project Manager,On Site,Full time,More than 2 years,Negotiable
180,Mediusware Ltd.,"Senior Software Engineer (Laravel, PHP)",On Site,Full time,More than 3 years,50k-70k
181,OGGROW,Sr. Front End React Developer,On Site,Full time,More than 4 years,70k-90k
182,Jobdesk® Ltd.,Senior DevOps Engineer,Remote,Full time,More than 4 years,40k-70k
183,Fair Pattern,Senior Technical Project Manager,On Site,Full time,More than 6 years,130k-180k
184,Creativitix Software Ltd.,Software Engineering Intern (QA),On Site,Full time,Fresher,8k
185,Eunoia I.T Solutions,Backend/dotNET/C# (Intern),On Site,Full time,Fresher,7.5k-15k
186,Softwrd Limited, Junior Frontend Developer,On Site,Full time,Less than 2 years ,60k
187,Navigator Technologies,Web Developer,On Site,Full time,Less than 2 years ,50k
